0, 0, K
0, 1, K
0, 2, K
0, 3, B
0, 4, B
0, 5, B
0, 6, B
0, 7, K
0, 8, K
0, 9, B
1, 0, B
1, 1, K
1, 2, K
1, 3, B
1, 4, B
1, 5, K
1, 6, B
1, 7, B
1, 8, B
1, 9, B
2, 0, K
2, 1, B
2, 2, B
2, 3, B
2, 4, B
2, 5, K
2, 6, B
2, 7, B
2, 8, B
2, 9, B
3, 0, B
3, 1, K
3, 2, B
3, 3, K
3, 4, B
3, 5, B
3, 6, B
3, 7, B
3, 8, B
3, 9, K
4, 0, B
4, 1, K
4, 2, K
4, 3, B
4, 4, B
4, 5, B
4, 6, B
4, 7, B
4, 8, B
4, 9, B
5, 0, B
5, 1, B
5, 2, B
5, 3, B
5, 4, B
5, 5, B
5, 6, K
5, 7, K
5, 8, B
5, 9, B
6, 0, K
6, 1, K
6, 2, B
6, 3, K
6, 4, K
6, 5, B
6, 6, B
6, 7, K
6, 8, K
6, 9, B
7, 0, B
7, 1, K
7, 2, K
7, 3, B
7, 4, B
7, 5, B
7, 6, B
7, 7, B
7, 8, B
7, 9, B
8, 0, B
8, 1, B
8, 2, B
8, 3, K
8, 4, K
8, 5, B
8, 6, B
8, 7, K
8, 8, B
8, 9, B
9, 0, B
9, 1, B
9, 2, B
9, 3, B
9, 4, B
9, 5, K
9, 6, B
9, 7, B
9, 8, B
9, 9, K
